,Quarter,Time,Tm,Detail,RAI,MIA
0,1,,Raiders,Jeff Jaeger 19 yard field goal,3,0
1,1,,Raiders,Anthony Smith 25 yard fumble return (Jeff Jaeger kick),10,0
2,2,,Dolphins,Keith Jackson 15 yard pass from Dan Marino (Pete Stoyanovich kick),10,7
3,3,,Dolphins,Pete Stoyanovich 21 yard field goal,10,10
4,3,,Raiders,Tim Brown 7 yard pass from Jeff Hostetler (Jeff Jaeger kick),17,10
5,4,,Dolphins,Keith Byars 18 yard pass from Dan Marino (Pete Stoyanovich kick),17,17
6,OT,,Dolphins,Pete Stoyanovich 29 yard field goal,17,20
