,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,4:28,Rams,Jeff Wilkins 30 yard field goal,3,0
1,2.0,13:07,Rams,Jeff Wilkins 41 yard field goal,6,0
2,2.0,9:45,49ers,Brandon Lloyd 35 yard pass from Tim Rattay (Joe Nedney kick),6,7
3,2.0,6:48,49ers,Otis Amey 75 yard punt return (Joe Nedney kick),6,14
4,2.0,1:16,49ers,Arnaz Battle 6 yard pass from Tim Rattay (Joe Nedney kick),6,21
5,2.0,0:00,Rams,Jeff Wilkins 33 yard field goal,9,21
6,3.0,11:32,49ers,Kevan Barlow 9 yard rush (Joe Nedney kick),9,28
7,3.0,1:52,Rams,Jeff Wilkins 41 yard field goal,12,28
8,4.0,13:22,Rams,Isaac Bruce 29 yard pass from Marc Bulger (run failed),18,28
9,4.0,2:13,Rams,Brandon Manumaleuna 6 yard pass from Marc Bulger (Jeff Wilkins kick),25,28
