,Quarter,Time,Tm,Detail,CIN,SFO
0,2.0,12:57,49ers,Shaun Hill 3 yard rush (Joe Nedney kick),0,7
1,2.0,8:27,Bengals,Shayne Graham 24 yard field goal,3,7
2,2.0,4:38,Bengals,Chris Henry 52 yard pass from Carson Palmer (Shayne Graham kick),10,7
3,2.0,0:09,49ers,Vernon Davis 17 yard pass from Shaun Hill (Joe Nedney kick),10,14
4,3.0,8:15,49ers,Joe Nedney 29 yard field goal,10,17
5,3.0,0:54,49ers,Joe Nedney 38 yard field goal,10,20
6,4.0,11:18,Bengals,Shayne Graham 35 yard field goal,13,20
