,Quarter,Tm,Detail,BUF,NWE
0,1.0,Patriots,John Smith 42 yard field goal,0,3
1,2.0,Bills,Joe Cribbs 14 yard rush (Efren Herrera kick),7,3
2,2.0,Bills,Jerry Butler 22 yard pass from Joe Ferguson (run failed),13,3
3,2.0,Patriots,Morris Bradshaw 11 yard pass from Steve Grogan (John Smith kick),13,10
4,3.0,Patriots,Ken Toler 33 yard pass from Steve Grogan,13,16
5,3.0,Bills,Efren Herrera 46 yard field goal,16,16
6,4.0,Patriots,Tony Collins 1 yard rush (John Smith kick),16,23
7,4.0,Bills,Efren Herrera 25 yard field goal,19,23
8,4.0,Patriots,Don Hasselbeck 2 yard pass from Steve Grogan (John Smith kick),19,30
