,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Gary Clark 80 yard pass from Mark Rypien,0,6
1,1.0,Redskins,Gerald Riggs 41 yard rush (Chip Lohmiller kick),0,13
2,1.0,Redskins,Earnest Byner 11 yard pass from Mark Rypien (Chip Lohmiller kick),0,20
3,1.0,Eagles,Keith Jackson 17 yard pass from Randall Cunningham (Luis Zendejas kick),7,20
4,2.0,Redskins,Gary Clark 5 yard pass from Mark Rypien (Chip Lohmiller kick),7,27
5,2.0,Eagles,Anthony Toney 3 yard rush (Luis Zendejas kick),14,27
6,2.0,Redskins,Chip Lohmiller 25 yard field goal,14,30
7,3.0,Eagles,Keith Jackson 5 yard pass from Randall Cunningham (Luis Zendejas kick),21,30
8,4.0,Eagles,Cris Carter 5 yard pass from Randall Cunningham (Luis Zendejas kick),28,30
9,4.0,Redskins,Art Monk 43 yard pass from Mark Rypien (Chip Lohmiller kick),28,37
10,4.0,Eagles,Mike Quick 2 yard pass from Randall Cunningham (Luis Zendejas kick),35,37
11,4.0,Eagles,Keith Jackson 4 yard pass from Randall Cunningham (Luis Zendejas kick),42,37
