,Quarter,Tm,Detail,MIA,SDG
0,1.0,Dolphins,Pete Stoyanovich 34 yard field goal,3,0
1,2.0,Chargers,John Carney 35 yard field goal,3,3
2,2.0,Dolphins,Dan Marino 10 yard rush (Pete Stoyanovich kick),10,3
3,2.0,Chargers,Craig McEwen 12 yard pass from John Friesz (John Carney kick),10,10
4,3.0,Dolphins,Tony Paige 9 yard pass from Dan Marino,16,10
5,3.0,Dolphins,Mark Clayton 10 yard pass from Dan Marino (Pete Stoyanovich kick),23,10
6,4.0,Chargers,Ronnie Harmon 25 yard pass from John Friesz (John Carney kick),23,17
7,4.0,Chargers,Rod Bernstine 5 yard rush (John Carney kick),23,24
8,4.0,Chargers,Rod Bernstine 1 yard rush (John Carney kick),23,31
9,4.0,Dolphins,Mark Clayton 8 yard pass from Dan Marino (Pete Stoyanovich kick),30,31
10,4.0,Chargers,Rod Bernstine 63 yard rush (John Carney kick),30,38
