,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Nels Peterson 18 yard field goal,3,0
1,1.0,Packers,Clarke Hinkle 34 yard field goal,3,3
2,2.0,Packers,Don Hutson 7 yard pass from Arnie Herber (Ed Jankowski kick),3,10
3,2.0,Packers,Don Hutson 53 yard pass from Arnie Herber (Ed Jankowski kick),3,17
4,2.0,Rams,Ed Goddard 53 yard pass from Bob Snyder (Ed Goddard kick),10,17
5,2.0,Packers,Clarke Hinkle 12 yard field goal,10,20
6,4.0,Packers,Don Hutson 18 yard pass from Arnie Herber,10,26
7,4.0,Rams,Nels Peterson 5 yard pass from Bob Snyder (Bob Snyder kick),17,26
