,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Toni Fritsch 27 yard field goal,0,3
1,1.0,Cowboys,Ron Sellers 41 yard pass from Craig Morton (Toni Fritsch kick),0,10
2,2.0,Cowboys,Calvin Hill 6 yard rush (Toni Fritsch kick),0,17
3,2.0,Cardinals,Jackie Smith 68 yard pass from Gary Cuozzo (Jim Bakken kick),7,17
4,2.0,Cowboys,Toni Fritsch 14 yard field goal,7,20
5,2.0,Cowboys,Toni Fritsch 50 yard field goal,7,23
6,2.0,Cardinals,Jim Bakken 34 yard field goal,10,23
7,3.0,Cowboys,Charlie Waters 28 yard interception return (Toni Fritsch kick),10,30
8,3.0,Cardinals,Johnny Roland 12 yard pass from Gary Cuozzo (Jim Bakken kick),17,30
9,4.0,Cowboys,Toni Fritsch 38 yard field goal,17,33
10,4.0,Cardinals,Leo Hayden 1 yard rush (Jim Bakken kick),24,33
