,Quarter,Tm,Detail,PHI,GNB
0,1.0,Packers,Paul Hornung 30 yard field goal,0,3
1,2.0,Packers,Max McGee 34 yard pass from Babe Parilli (Paul Hornung kick),0,10
2,2.0,Eagles,Billy Ray Barnes 70 yard rush (Bobby Walston kick),7,10
3,2.0,Packers,Howie Ferguson 2 yard rush (Paul Hornung kick),7,17
4,2.0,Eagles,Tommy McDonald 8 yard pass from Norm Van Brocklin (Bobby Walston kick),14,17
5,3.0,Packers,Al Carmichael 14 yard pass from Babe Parilli (Paul Hornung kick),14,24
6,3.0,Packers,Gary Knafelc 10 yard pass from Babe Parilli (Paul Hornung kick),14,31
7,3.0,Packers,Max McGee 25 yard pass from Babe Parilli (Paul Hornung kick),14,38
8,4.0,Eagles,Billy Wells 3 yard rush (Bobby Walston kick),21,38
9,4.0,Eagles,Gene Mitcham 15 yard pass from Norm Van Brocklin (Bobby Walston kick),28,38
10,4.0,Eagles,Tommy McDonald 19 yard pass from Norm Van Brocklin (Bobby Walston kick),35,38
