,Quarter,Tm,Detail,TAM,DET
0,1.0,Lions,Darrell Grymes 36 yard pass from Todd Hons (Mike Prindle kick),0,7
1,1.0,Lions,Mike Prindle 23 yard field goal,0,10
2,1.0,Lions,Angelo King 9 yard defensive fumble return (Mike Prindle kick),0,17
3,2.0,Buccaneers,Adrian Wright 15 yard pass from Mike Hold (Van Tiffin kick),7,17
4,2.0,Buccaneers,Paul Tripoli 15 yard interception return (Van Tiffin kick),14,17
5,2.0,Lions,Eric Truvillion 53 yard pass from Todd Hons (Mike Prindle kick),14,24
6,2.0,Buccaneers,Eric Streater 61 yard pass from Mike Hold (Van Tiffin kick),21,24
7,3.0,Buccaneers,Van Tiffin 21 yard field goal,24,24
8,3.0,Buccaneers,Harold Ricks 1 yard rush (Van Tiffin kick),31,24
9,4.0,Lions,Mike Prindle 35 yard field goal,31,27
