,Quarter,Tm,Detail,PIT,SFO
0,1.0,49ers,Hugh McElhenny 2 yard rush (Gordie Soltau kick),0,7
1,2.0,Steelers,Ray Mathews 10 yard pass from Earl Morrall (Tom Miner kick),7,7
2,3.0,Steelers,Tom Miner 22 yard field goal,10,7
3,3.0,Steelers,Tank Younger 1 yard rush (Tom Miner kick),17,7
4,3.0,Steelers,Tom Miner 23 yard field goal,20,7
5,3.0,49ers,James Pace 11 yard rush,20,13
6,4.0,49ers,John Brodie 1 yard rush (Gordie Soltau kick),20,20
7,4.0,49ers,Gordie Soltau 22 yard field goal,20,23
