,Quarter,Tm,Detail,ATL,PIT
0,1.0,Steelers,Dwayne Woodruff 65 yard defensive fumble return (Gary Anderson kick),0,7
1,2.0,Steelers,John Stallworth 20 yard pass from Mark Malone (Gary Anderson kick),0,14
2,2.0,Falcons,Mick Luckhurst 40 yard field goal,3,14
3,3.0,Steelers,Frank Pollard 5 yard rush (Gary Anderson kick),3,21
4,3.0,Steelers,John Stallworth 31 yard pass from Mark Malone (Gary Anderson kick),3,28
5,4.0,Steelers,Rich Erenberg 7 yard pass from Mark Malone (Gary Anderson kick),3,35
6,4.0,Falcons,Stacey Bailey 9 yard pass from Mike Moroski (Mick Luckhurst kick),10,35
