,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,,Falcons,Morten Andersen 25 yard field goal,3,0
1,1.0,,Falcons,Bert Emanuel 9 yard pass from Chris Chandler (Morten Andersen kick),10,0
2,2.0,,Saints,Doug Brien 35 yard field goal,10,3
3,2.0,,Falcons,Morten Andersen 32 yard field goal,13,3
4,2.0,,Falcons,Morten Andersen 55 yard field goal,16,3
5,3.0,,Falcons,Jamal Anderson 2 yard rush (Morten Andersen kick),23,3
6,4.0,0:47,Saints,Andre Hastings 16 yard pass from Danny Wuerffel (Doug Brien kick),23,10
7,4.0,0:47,Saints,Mario Bates 1 yard rush (Doug Brien kick),23,17
