,Quarter,Tm,Detail,GNB,CRD
0,1.0,Packers,Joel Mason 8 yard pass from Irv Comp (Don Hutson kick),7,0
1,1.0,Packers,Joel Mason 12 yard pass from Irv Comp (Don Hutson kick),14,0
2,2.0,Cardinals,Ed Rucinski 29 yard pass from Ronnie Cahill (Dixie Stokes kick),14,7
3,2.0,Packers,Ted Fritsch 2 yard rush (Don Hutson kick),21,7
4,3.0,Packers,Harry Jacunski 35 yard pass from Lou Brock (Don Hutson kick),28,7
