,Quarter,Tm,Detail,DAL,NOR
0,1.0,Saints,Lonzell Hill 7 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Saints,Brett Perriman 17 yard pass from Bobby Hebert (Morten Andersen kick),0,14
2,2.0,Cowboys,Kelvin Martin 13 yard pass from Steve Pelluer (Roger Ruzek kick),7,14
3,3.0,Cowboys,Kelvin Martin 14 yard pass from Steve Pelluer (Roger Ruzek kick),14,14
4,3.0,Saints,Morten Andersen 27 yard field goal,14,17
5,4.0,Cowboys,Roger Ruzek 39 yard field goal,17,17
6,4.0,Saints,Morten Andersen 49 yard field goal,17,20
