,Quarter,Time,Tm,Detail,KAN,MIA
0,1.0,,Dolphins,Pete Stoyanovich 33 yard field goal,0,3
1,1.0,,Dolphins,Pete Stoyanovich 33 yard field goal,0,6
2,2.0,,Dolphins,O.J. McDuffie 3 yard pass from Dan Marino (Pete Stoyanovich kick),0,13
3,4.0,,Chiefs,Webster Slaughter 5 yard pass from Steve Bono,6,13
