,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Matt Stover 50 yard field goal,0,3
1,1.0,Browns,Eric Turner 42 yard interception return (Matt Stover kick),0,10
2,1.0,Browns,Leroy Hoard 65 yard pass from Bernie Kosar,0,16
3,2.0,Browns,Webster Slaughter 18 yard pass from Bernie Kosar (Matt Stover kick),0,23
4,2.0,Eagles,Keith Jackson 18 yard pass from Jim McMahon (Roger Ruzek kick),7,23
5,2.0,Eagles,Fred Barnett 70 yard pass from Jim McMahon (Roger Ruzek kick),14,23
6,2.0,Eagles,Roger Ruzek 21 yard field goal,17,23
7,2.0,Browns,Reggie Langhorne 24 yard pass from Bernie Kosar (Matt Stover kick),17,30
8,3.0,Eagles,Roger Ruzek 37 yard field goal,20,30
9,3.0,Eagles,Roger Ruzek 24 yard field goal,23,30
10,4.0,Eagles,Roger Ruzek 19 yard field goal,26,30
11,4.0,Eagles,Calvin Williams 5 yard pass from Jim McMahon,32,30
