,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Jim Breech 21 yard field goal,3,0
1,2.0,Browns,"Safety, J. Jones tackled Brooks in end zone",3,2
2,2.0,Browns,Matt Stover 30 yard field goal,3,5
3,3.0,Browns,Matt Stover 42 yard field goal,3,8
4,3.0,Browns,Matt Stover 38 yard field goal,3,11
5,4.0,Bengals,Tim McGee 26 yard pass from Boomer Esiason (Jim Breech kick),10,11
6,4.0,Bengals,Jim Breech 36 yard field goal,13,11
7,4.0,Browns,Matt Stover 45 yard field goal,13,14
