,Quarter,Tm,Detail,NOR,NYJ
0,1.0,Saints,Jack Holmes 14 yard pass from Archie Manning (Benny Ricardo kick),7,0
1,2.0,Jets,Kevin Long 1 yard rush (Pat Leahy kick),7,7
2,2.0,Jets,Pat Leahy 27 yard field goal,7,10
3,2.0,Jets,Pat Leahy 47 yard field goal,7,13
4,4.0,Saints,Tony Galbreath 1 yard rush (Benny Ricardo kick),14,13
5,4.0,Jets,Richard Todd 31 yard rush (Pat Leahy kick),14,20
6,4.0,Saints,Tony Galbreath 1 yard rush (Benny Ricardo kick),21,20
