,Quarter,Time,Tm,Detail,TAM,GNB
0,1,5:55,Packers,Ahman Green 3 yard rush (Ryan Longwell kick),0,7
1,3,10:01,Packers,Ahman Green 2 yard rush (Ryan Longwell kick),0,14
2,3,2:03,Buccaneers,Martin Gramatica 38 yard field goal,3,14
3,4,9:02,Buccaneers,Keyshawn Johnson 18 yard pass from Shaun King (Shaun King run),11,14
4,4,7:50,Buccaneers,Martin Gramatica 43 yard field goal,14,14
5,OT,8:29,Packers,Ryan Longwell 22 yard field goal,14,17
