,Quarter,Tm,Detail,NYG,BUF
0,1.0,Giants,Matt Bahr 28 yard field goal,3,0
1,1.0,Bills,Scott Norwood 23 yard field goal,3,3
2,2.0,Bills,Don Smith 1 yard rush (Scott Norwood kick),3,10
3,2.0,Bills,"Safety, Smith tackled Hostetler in end zone",3,12
4,2.0,Giants,Stephen Baker 14 yard pass from Jeff Hostetler (Matt Bahr kick),10,12
5,3.0,Giants,Ottis Anderson 1 yard rush (Matt Bahr kick),17,12
6,4.0,Bills,Thurman Thomas 31 yard rush (Scott Norwood kick),17,19
7,4.0,Giants,Matt Bahr 21 yard field goal,20,19
