,Quarter,Tm,Detail,NYY,NYG
0,1.0,Giants,Emlen Tunnell 67 yard punt return (Ben Agajanian kick),0,7
1,1.0,Giants,Joe Scott 7 yard rush (Ben Agajanian kick),0,14
2,2.0,Giants,Joe Scott 24 yard pass from Charlie Conerly (Ben Agajanian kick),0,21
3,2.0,Bulldogs,Hal Prescott 18 yard pass from Bobby Layne (Nick Scollard kick),7,21
4,2.0,Giants,Ben Agajanian 36 yard field goal,7,24
5,3.0,Bulldogs,Bill Chipley 13 yard pass from Bobby Layne (Nick Scollard kick),14,24
6,3.0,Bulldogs,Joe Osmanski 4 yard rush (Nick Scollard kick),21,24
7,4.0,Bulldogs,Nick Scollard 30 yard field goal,24,24
8,4.0,Bulldogs,Joe Osmanski 3 yard rush (Nick Scollard kick),31,24
