,Quarter,Tm,Detail,NYJ,SFO
0,2.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),0,7
1,2.0,Jets,Pat Leahy 22 yard field goal,3,7
2,2.0,49ers,Roger Craig 5 yard rush (Ray Wersching kick),3,14
3,3.0,49ers,Tom Rathman 29 yard rush (Ray Wersching kick),3,21
4,4.0,Jets,Freeman McNeil 10 yard pass from Ken O'Brien (Pat Leahy kick),10,21
5,4.0,49ers,Ray Wersching 33 yard field goal,10,24
