,Quarter,Tm,Detail,PHI,ATL
0,1.0,Eagles,Ron Jaworski 8 yard rush (Tony Franklin kick),7,0
1,1.0,Eagles,Vyto Kab 5 yard pass from Ron Jaworski (Tony Franklin kick),14,0
2,2.0,Falcons,Floyd Hodge 6 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,7
3,2.0,Eagles,Harold Carmichael 29 yard pass from Ron Jaworski (Tony Franklin kick),21,7
4,3.0,Falcons,Stacey Bailey 41 yard pass from Steve Bartkowski (Mick Luckhurst kick),21,14
5,4.0,Falcons,Stacey Bailey 8 yard pass from Steve Bartkowski (Mick Luckhurst kick),21,21
6,4.0,Falcons,Mick Luckhurst 44 yard field goal,21,24
7,4.0,Eagles,Mike Quick 53 yard pass from Ron Jaworski (Tony Franklin kick),28,24
