,Quarter,Tm,Detail,RCH,RII
0,2.0,Independents,Jimmy Conzelman 10 yard rush,0,6
1,3.0,Independents,Jimmy Conzelman 1 yard rush (Jerry Johnson kick),0,13
2,4.0,Independents,Buck Gavin 1 yard rush (Jerry Johnson kick),0,20
3,4.0,Independents,Buck Gavin 1 yard rush,0,26
