,Quarter,Tm,Detail,MIN,MIA
0,2.0,Dolphins,Fuad Reveiz 38 yard field goal,0,3
1,2.0,Dolphins,Jim Jensen 3 yard pass from Dan Marino (Fuad Reveiz kick),0,10
2,2.0,Dolphins,Lorenzo Hampton 1 yard pass from Dan Marino (Fuad Reveiz kick),0,17
3,3.0,Dolphins,Lorenzo Hampton 5 yard rush (Fuad Reveiz kick),0,24
4,4.0,Vikings,Carl Lee 48 yard interception return (Chuck Nelson kick),7,24
