,Quarter,Time,Tm,Detail,PIT,MIA
0,1.0,14:02,Dolphins,Dan Carpenter 39 yard field goal,0,3
1,1.0,11:15,Dolphins,Dan Carpenter 23 yard field goal,0,6
2,2.0,14:14,Steelers,Jeff Reed 22 yard field goal,3,6
3,2.0,11:11,Steelers,Hines Ward 21 yard pass from Ben Roethlisberger (Jeff Reed kick),10,6
4,2.0,6:03,Dolphins,Dan Carpenter 22 yard field goal,10,9
5,2.0,5:47,Steelers,Mike Wallace 53 yard pass from Ben Roethlisberger (Jeff Reed kick),17,9
6,2.0,1:50,Dolphins,Davone Bess 26 yard pass from Chad Henne (Dan Carpenter kick),17,16
7,3.0,5:32,Steelers,Jeff Reed 39 yard field goal,20,16
8,3.0,1:08,Dolphins,Dan Carpenter 37 yard field goal,20,19
9,4.0,5:17,Dolphins,Dan Carpenter 40 yard field goal,20,22
10,4.0,2:26,Steelers,Jeff Reed 18 yard field goal,23,22
