,Quarter,Time,Tm,Detail,WAS,IND
0,1.0,,Colts,Dean Biasucci 50 yard field goal,0,3
1,2.0,,Colts,Sean Dawkins 24 yard pass from Jim Harbaugh (Dean Biasucci kick),0,10
2,2.0,,Redskins,Chip Lohmiller 21 yard field goal,3,10
3,2.0,,Colts,Marshall Faulk 85 yard pass from Jim Harbaugh (Dean Biasucci kick),3,17
4,2.0,,Redskins,Chip Lohmiller 27 yard field goal,6,17
5,2.0,,Redskins,James Jenkins 1 yard pass from Gus Frerotte (Chip Lohmiller kick),13,17
6,3.0,,Redskins,Ricky Ervins 1 yard rush (Chip Lohmiller kick),20,17
7,3.0,,Redskins,James Jenkins 5 yard pass from Gus Frerotte (Chip Lohmiller kick),27,17
8,4.0,,Colts,Dean Biasucci 28 yard field goal,27,20
9,4.0,,Redskins,Andre Collins 21 yard interception return (Chip Lohmiller kick),34,20
10,4.0,,Redskins,Ricky Ervins 3 yard rush (Chip Lohmiller kick),41,20
11,4.0,,Colts,Mark Jackson 13 yard pass from Don Majkowski (Dean Biasucci kick),41,27
