,Quarter,Time,Tm,Detail,BAL,MIA
0,1.0,3:43,Dolphins,Ricky Williams 2 yard rush (Olindo Mare kick),0,7
1,2.0,9:08,Ravens,Travis Taylor 28 yard pass from Jeff Blake (Matt Stover kick),7,7
2,2.0,6:19,Dolphins,Ray Lucas 1 yard rush (Olindo Mare kick),7,14
3,2.0,0:08,Dolphins,Olindo Mare 42 yard field goal,7,17
4,3.0,5:07,Dolphins,Olindo Mare 49 yard field goal,7,20
5,4.0,9:02,Dolphins,Ricky Williams 4 yard rush (pass failed),7,26
