,Quarter,Tm,Detail,DEN,KAN
0,2.0,Broncos,Lonnie Perrin 2 yard rush (Jim Turner kick),7,0
1,2.0,Chiefs,Henry Marshall 15 yard pass from Mike Livingston (Jan Stenerud kick),7,7
2,4.0,Broncos,Haven Moses 23 yard pass from Craig Morton (Jim Turner kick),14,7
