,Quarter,Time,Tm,Detail,CHI,ARI
0,1.0,,Cardinals,Joe Nedney 49 yard field goal,0,3
1,2.0,1:56,Cardinals,Mario Bates 2 yard rush (Joe Nedney kick),0,10
2,2.0,0:48,Cardinals,Mario Bates 2 yard rush (Joe Nedney kick),0,17
3,4.0,0:48,Cardinals,Joe Nedney 40 yard field goal,0,20
4,4.0,0:48,Bears,Bobby Engram 79 yard pass from Erik Kramer (Jeff Jaeger kick),7,20
