,Quarter,Time,Tm,Detail,NYJ,DEN
0,2.0,0:06,Jets,John Hall 32 yard field goal,3,0
1,3.0,12:00,Jets,Curtis Martin 1 yard rush (John Hall kick),10,0
2,3.0,12:00,Broncos,Howard Griffith 11 yard pass from John Elway (Jason Elam kick),10,7
3,3.0,12:00,Broncos,Jason Elam 44 yard field goal,10,10
4,3.0,12:00,Broncos,Jason Elam 48 yard field goal,10,13
5,3.0,12:00,Broncos,Terrell Davis 31 yard rush (Jason Elam kick),10,20
6,4.0,12:00,Broncos,Jason Elam 35 yard field goal,10,23
