,Quarter,Time,Tm,Detail,PIT,DEN
0,1.0,10:24,Broncos,Matt Prater 40 yard field goal,0,3
1,2.0,12:50,Steelers,Tyrone Carter 48 yard interception return (Jeff Reed kick),7,3
2,3.0,11:16,Broncos,Robert Ayers 54 yard defensive fumble return (Matt Prater kick),7,10
3,3.0,9:09,Steelers,Hines Ward 3 yard pass from Ben Roethlisberger (Jeff Reed kick),14,10
4,4.0,7:03,Steelers,Mike Wallace 25 yard pass from Ben Roethlisberger (Jeff Reed kick),21,10
5,4.0,1:22,Steelers,Hines Ward 3 yard pass from Ben Roethlisberger (Jeff Reed kick),28,10
