,Quarter,Tm,Detail,CHI,MIA
0,1.0,Dolphins,Nat Moore 33 yard pass from Dan Marino (Fuad Reveiz kick),0,7
1,1.0,Bears,Steve Fuller 1 yard rush (Kevin Butler kick),7,7
2,1.0,Dolphins,Fuad Reveiz 47 yard field goal,7,10
3,2.0,Dolphins,Ron Davenport 1 yard rush (Fuad Reveiz kick),7,17
4,2.0,Bears,Kevin Butler 30 yard field goal,10,17
5,2.0,Dolphins,Ron Davenport 1 yard rush (Fuad Reveiz kick),10,24
6,2.0,Dolphins,Nat Moore 6 yard pass from Dan Marino (Fuad Reveiz kick),10,31
7,3.0,Bears,Steve Fuller 1 yard rush (Kevin Butler kick),17,31
8,3.0,Dolphins,Mark Clayton 42 yard pass from Dan Marino (Fuad Reveiz kick),17,38
9,3.0,Bears,Ken Margerum 19 yard pass from Steve Fuller (Kevin Butler kick),24,38
