,Quarter,Tm,Detail,CLE,KAN
0,1.0,Chiefs,Elmo Wright 11 yard pass from Mike Livingston (Jan Stenerud kick),0,7
1,2.0,Browns,Don Cockroft 44 yard field goal,3,7
2,3.0,Chiefs,Jan Stenerud 15 yard field goal,3,10
3,3.0,Browns,Don Cockroft 28 yard field goal,6,10
4,4.0,Chiefs,Jan Stenerud 13 yard field goal,6,13
5,4.0,Chiefs,Ed Podolak 2 yard rush (Jan Stenerud kick),6,20
6,4.0,Browns,Greg Pruitt 65 yard rush (Don Cockroft kick),13,20
7,4.0,Browns,Milt Morin 51 yard pass from Mike Phipps (Don Cockroft kick),20,20
