,Quarter,Time,Tm,Detail,SEA,JAX
0,1.0,,Seahawks,Chris Warren 29 yard rush (Todd Peterson kick),7,0
1,1.0,,Jaguars,Mark Brunell 3 yard rush (Mike Hollis kick),7,7
2,1.0,,Seahawks,Joey Galloway 38 yard pass from Rick Mirer (Todd Peterson kick),14,7
3,2.0,,Jaguars,Vaughn Dunbar 2 yard rush (Mike Hollis kick),14,14
4,2.0,,Seahawks,Joey Galloway 86 yard rush (Todd Peterson kick),21,14
5,2.0,,Jaguars,Ernest Givins 15 yard pass from Mark Brunell (Mike Hollis kick),21,21
6,2.0,,Jaguars,Mike Hollis 26 yard field goal,21,24
7,2.0,,Jaguars,Mike Hollis 50 yard field goal,21,27
8,3.0,,Seahawks,Joey Galloway 23 yard pass from Rick Mirer (Todd Peterson kick),28,27
9,4.0,,Seahawks,Mack Strong 4 yard rush (Todd Peterson kick),35,27
10,4.0,,Jaguars,Mike Hollis 29 yard field goal,35,30
11,4.0,,Seahawks,Todd Peterson 25 yard field goal,38,30
12,4.0,,Seahawks,Tracy Johnson 2 yard rush (Todd Peterson kick),45,30
13,4.0,,Seahawks,"Safety, Brunell sacked in end zone",47,30
