,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,Jim Bakken 16 yard field goal,3,0
1,2.0,Giants,Aaron Thomas 35 yard pass from Y.A. Tittle (Don Chandler kick),3,7
2,2.0,Giants,Don Chandler 15 yard field goal,3,10
3,3.0,Cardinals,Sonny Randle 11 yard pass from Charley Johnson (Jim Bakken kick),10,10
4,3.0,Cardinals,Bill Triplett 14 yard rush (Jim Bakken kick),17,10
5,4.0,Giants,Joe Walton 4 yard pass from Y.A. Tittle (Don Chandler kick),17,17
6,4.0,Cardinals,Bobby Joe Conrad 3 yard pass from Charley Johnson (Jim Bakken kick),24,17
