,Quarter,Time,Tm,Detail,OAK,SFO
0,1.0,9:30,Raiders,Daniel Carlson 37 yard field goal,3,0
1,1.0,6:47,49ers,Pierre Garcon 24 yard pass from Nick Mullens (Robbie Gould kick),3,7
2,2.0,12:40,49ers,Kendrick Bourne 4 yard pass from Nick Mullens (Robbie Gould kick),3,14
3,2.0,0:16,49ers,Robbie Gould 39 yard field goal,3,17
4,3.0,12:36,49ers,George Kittle 5 yard pass from Nick Mullens (Robbie Gould kick),3,24
5,3.0,9:17,49ers,Raheem Mostert 52 yard rush (Robbie Gould kick),3,31
6,4.0,3:59,49ers,Robbie Gould 25 yard field goal,3,34
