,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Tony Zendejas 30 yard field goal,0,3
1,2.0,Packers,Don Majkowski 2 yard rush (Chris Jacke kick),7,3
2,2.0,Rams,Tony Zendejas 32 yard field goal,7,6
3,2.0,Rams,Robert Delpino 2 yard rush (Tony Zendejas kick),7,13
4,2.0,Rams,Anthony Newman 17 yard special teams fumble return (Tony Zendejas kick),7,20
5,3.0,Rams,Tony Zendejas 28 yard field goal,7,23
6,4.0,Packers,Perry Kemp 2 yard pass from Blair Kiel (Chris Jacke kick),14,23
7,4.0,Packers,Vince Workman 5 yard pass from Blair Kiel (Chris Jacke kick),21,23
