,Quarter,Tm,Detail,CRD,GNB
0,2,Cardinals,Charlie McBride 38 yard pass from Phil Sarboe (Clarence Kellogg kick),7,0
1,3,Packers,George Sauer unknown yard rush (Ade Schwammel kick),7,7
2,4,Packers,Ernie Smith 25 yard field goal,7,10
