,Quarter,Time,Tm,Detail,MIN,TAM
0,1,,Vikings,Fuad Reveiz 51 yard field goal,3,0
1,1,,Buccaneers,Errict Rhett 6 yard rush (Michael Husted kick),3,7
2,2,,Buccaneers,Martin Mayhew 78 yard defensive fumble return (Michael Husted kick),3,14
3,2,,Vikings,Fuad Reveiz 43 yard field goal,6,14
4,3,,Buccaneers,Michael Husted 36 yard field goal,6,17
5,4,,Vikings,Jake Reed 26 yard pass from Warren Moon (Robert Smith run),14,17
6,4,,Vikings,Fuad Reveiz 23 yard field goal,17,17
7,OT,,Buccaneers,Michael Husted 51 yard field goal,17,20
