,Quarter,Tm,Detail,CLE,RAI
0,1.0,Raiders,Chris Bahr 27 yard field goal,0,3
1,2.0,Browns,Matt Bahr 52 yard field goal,3,3
2,2.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),3,10
3,2.0,Browns,Ricky Feacher 43 yard pass from Paul McDonald (Matt Bahr kick),10,10
4,2.0,Raiders,Chris Bahr 37 yard field goal,10,13
5,3.0,Raiders,Marcus Allen 3 yard rush (Chris Bahr kick),10,20
6,4.0,Raiders,Frank Hawkins 1 yard rush (Chris Bahr kick),10,27
