,Quarter,Tm,Detail,WAS,NOR
0,1.0,Saints,Ray Poage 5 yard pass from Billy Kilmer (Tom Dempsey kick),0,7
1,2.0,Saints,Tom Dempsey 13 yard field goal,0,10
2,2.0,Redskins,Charley Taylor 10 yard pass from Sonny Jurgensen (Curt Knight kick),7,10
3,2.0,Redskins,Jerry Smith 13 yard pass from Sonny Jurgensen (Curt Knight kick),14,10
4,3.0,Saints,Tom Dempsey 43 yard field goal,14,13
5,3.0,Redskins,Charley Taylor 51 yard pass from Sonny Jurgensen (Curt Knight kick),21,13
6,4.0,Saints,Andy Livingston 1 yard rush (Tom Dempsey kick),21,20
7,4.0,Redskins,Curt Knight 18 yard field goal,24,20
8,4.0,Redskins,"Safety, punter McNeill stepped out of end zone",26,20
