,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Ken Webb 1 yard rush (Jim Martin kick),0,7
1,4.0,Lions,Jim Martin 34 yard field goal,0,10
2,4.0,49ers,Billy Wilson 19 yard pass from John Brodie (Tommy Davis kick),7,10
3,4.0,49ers,R.C. Owens 18 yard pass from John Brodie (Tommy Davis kick),14,10
