,Quarter,Tm,Detail,NYJ,SDG
0,1.0,Jets,Johnny Hector 9 yard pass from Ken O'Brien (Pat Leahy kick),7,0
1,2.0,Chargers,Marion Butts 40 yard rush (Chris Bahr kick),7,7
2,3.0,Chargers,Chris Bahr 39 yard field goal,7,10
3,4.0,Jets,Roger Vick 1 yard rush (Pat Leahy kick),14,10
4,4.0,Jets,Roger Vick 14 yard rush,20,10
5,4.0,Chargers,Anthony Miller 8 yard pass from Billy Joe Tolliver (Chris Bahr kick),20,17
