,Quarter,Tm,Detail,TOR,SIS
0,1,Stapletons,Ken Strong 15 yard rush,0,6
1,2,Stapletons,Ralph Buckley 25 yard pass from Ken Strong,0,12
2,4,Tornadoes,Teddy Andrulewicz 20 yard pass from Frank Kirkleski,6,12
