,Quarter,Tm,Detail,BOS,DEN
0,1.0,Broncos,Tommie Smiley 1 yard rush (Bobby Howfield kick),0,7
1,1.0,Broncos,Tommie Smiley 17 yard pass from Steve Tensi (Bobby Howfield kick),0,14
2,2.0,Broncos,Floyd Little 3 yard rush (Bobby Howfield kick),0,21
3,2.0,Broncos,Al Denson 9 yard pass from Steve Tensi (Bobby Howfield kick),0,28
4,3.0,Broncos,Al Denson 3 yard pass from Steve Tensi (Bobby Howfield kick),0,35
5,4.0,Patriots,Carl Garrett 4 yard rush (Gino Cappelletti kick),7,35
