,Quarter,Tm,Detail,BAL,BUF
0,1.0,Colts,Tom Mitchell 27 yard pass from Johnny Unitas (Jim O'Brien kick),7,0
1,1.0,Colts,Jim O'Brien 30 yard field goal,10,0
2,2.0,Colts,Sam Havrilak 12 yard rush (Jim O'Brien kick),17,0
