,Quarter,Tm,Detail,GNB,DET
0,1,Packers,Chester Marcol 21 yard field goal,3,0
1,2,Lions,Steve Mike-Mayer 23 yard field goal,3,3
2,3,Packers,Chester Marcol 32 yard field goal,6,3
3,4,Lions,Ray Jarvis 9 yard pass from Greg Landry (Steve Mike-Mayer kick),6,10
