,Quarter,Tm,Detail,IND,NOR
0,1.0,Saints,Morten Andersen 21 yard field goal,0,3
1,2.0,Colts,Dean Biasucci 41 yard field goal,3,3
2,2.0,Saints,Eric Martin 3 yard pass from John Fourcade (Morten Andersen kick),3,10
3,2.0,Colts,Dean Biasucci 24 yard field goal,6,10
4,3.0,Saints,Dalton Hilliard 7 yard rush (Morten Andersen kick),6,17
5,4.0,Saints,Hoby Brenner 30 yard pass from John Fourcade (Morten Andersen kick),6,24
6,4.0,Saints,John Fourcade 2 yard rush (Morten Andersen kick),6,31
7,4.0,Saints,Morten Andersen 29 yard field goal,6,34
8,4.0,Saints,Toi Cook 63 yard interception return (Morten Andersen kick),6,41
