,Quarter,Tm,Detail,IND,NYJ
0,2.0,Jets,Cary Blanchard 35 yard field goal,0,3
1,2.0,Jets,Cary Blanchard 19 yard field goal,0,6
2,3.0,Colts,Dean Biasucci 31 yard field goal,3,6
3,4.0,Colts,Charles Arbuckle 23 yard pass from Jack Trudeau (Dean Biasucci kick),10,6
