,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Jan Stenerud 46 yard field goal,3,0
1,1.0,Packers,Mike Meade 1 yard rush (Jan Stenerud kick),10,0
2,2.0,Packers,John Jefferson 5 yard pass from Lynn Dickey (Jan Stenerud kick),17,0
3,2.0,Packers,"Safety, Boyd tackled Dils in end zone",19,0
4,3.0,Vikings,Rickey Young 1 yard rush (Benny Ricardo kick),19,7
5,3.0,Packers,Jan Stenerud 40 yard field goal,22,7
6,3.0,Vikings,Rickey Young 4 yard rush (Benny Ricardo kick),22,14
7,4.0,Vikings,Tony Galbreath 4 yard rush (Benny Ricardo kick),22,21
8,4.0,Packers,James Lofton 19 yard pass from Lynn Dickey (Jan Stenerud kick),29,21
