,Quarter,Tm,Detail,CLE,PHI
0,2.0,Eagles,Bobby Walston 10 yard pass from Bobby Thomason (Bobby Walston kick),0,7
1,2.0,Eagles,Jerry Williams 18 yard pass from Bobby Thomason (Bobby Walston kick),0,14
2,3.0,Browns,Dante Lavelli 16 yard pass from Otto Graham (Lou Groza kick),7,14
3,3.0,Browns,Lou Groza 11 yard field goal,10,14
4,3.0,Eagles,Hal Giancanelli 16 yard pass from Adrian Burk (Bobby Walston kick),10,21
5,4.0,Eagles,Pete Pihos 9 yard pass from Adrian Burk (Bobby Walston kick),10,28
