,Quarter,Tm,Detail,DET,PHI
0,2.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),0,7
1,2.0,Eagles,Harold Carmichael 20 yard pass from Ron Jaworski (Tony Franklin kick),0,14
2,2.0,Eagles,Harold Carmichael 24 yard pass from Ron Jaworski (Tony Franklin kick),0,21
3,2.0,Eagles,Tony Franklin 33 yard field goal,0,24
4,3.0,Eagles,Tony Franklin 30 yard field goal,0,27
5,3.0,Eagles,Tony Franklin 42 yard field goal,0,30
6,3.0,Lions,Freddie Scott 34 yard pass from Joe Reed (Benny Ricardo kick),7,30
7,3.0,Eagles,Billy Campfield 92 yard kickoff return (Tony Franklin kick),7,37
8,4.0,Eagles,Larry Barnes 1 yard rush (Tony Franklin kick),7,44
