,Quarter,Time,Tm,Detail,KAN,SFO
0,1.0,8:37,Chiefs,Travis Kelce 2 yard pass from Alex Smith (Cairo Santos kick),7,0
1,1.0,4:36,49ers,Phil Dawson 31 yard field goal,7,3
2,2.0,12:18,Chiefs,Cairo Santos 42 yard field goal,10,3
3,2.0,9:44,49ers,Phil Dawson 55 yard field goal,10,6
4,2.0,0:31,49ers,Steve Johnson 9 yard pass from Colin Kaepernick (Phil Dawson kick),10,13
5,3.0,11:56,Chiefs,De'Anthony Thomas 17 yard rush (Cairo Santos kick),17,13
6,3.0,6:16,49ers,Phil Dawson 52 yard field goal,17,16
7,4.0,8:42,49ers,Phil Dawson 27 yard field goal,17,19
8,4.0,2:12,49ers,Phil Dawson 30 yard field goal,17,22
