,Quarter,Tm,Detail,FRN,NYG
0,1.0,Giants,Snitz Snyder 4 yard rush,0,6
1,2.0,Giants,Ray Flaherty 15 yard pass from Benny Friedman,0,12
2,2.0,Giants,Jack Hagerty unknown yard pass from Tony Plansky,0,18
3,2.0,Giants,Len Sedbrook 10 yard pass from Tony Plansky (Lyle Munn pass from Tony Plansky),0,25
4,4.0,Giants,Len Sedbrook 1 yard rush,0,31
