,Quarter,Tm,Detail,CIN,NYJ
0,1.0,Bengals,Doug Pelfrey 28 yard field goal,3,0
1,2.0,Jets,Brad Baxter 5 yard rush (Cary Blanchard kick),3,7
2,2.0,Jets,Johnny Johnson 6 yard rush (Cary Blanchard kick),3,14
3,4.0,Jets,Cary Blanchard 42 yard field goal,3,17
4,4.0,Bengals,Jeff Query 4 yard pass from David Klingler (Doug Pelfrey kick),10,17
5,4.0,Bengals,"Safety, Aguiar threw ball out of back of end zone",12,17
