,Quarter,Time,Tm,Detail,HOU,CLE
0,1.0,,Browns,Andre Rison 4 yard pass from Eric Zeier (Matt Stover kick),0,7
1,1.0,,Oilers,Al Del Greco 44 yard field goal,3,7
2,2.0,,Oilers,Chris Chandler 2 yard rush (Al Del Greco kick),10,7
3,2.0,,Oilers,Haywood Jeffires 23 yard pass from Chris Chandler (Al Del Greco kick),17,7
4,3.0,,Browns,Matt Stover 20 yard field goal,17,10
5,3.0,,Oilers,Malcolm Floyd 15 yard pass from Chris Chandler (Al Del Greco kick),24,10
6,3.0,,Oilers,Al Del Greco 45 yard field goal,27,10
7,4.0,2:53,Oilers,Al Del Greco 37 yard field goal,30,10
8,4.0,2:53,Oilers,Blaine Bishop 62 yard interception return (Al Del Greco kick),37,10
