,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Scott Norwood 23 yard field goal,3,0
1,2.0,Bills,Thurman Thomas 10 yard pass from Jim Kelly (Scott Norwood kick),10,0
2,2.0,Patriots,Charlie Baumann 46 yard field goal,10,3
3,2.0,Patriots,Irving Fryar 50 yard pass from Hugh Millen,10,9
4,3.0,Bills,Scott Norwood 29 yard field goal,13,9
5,4.0,Patriots,Hugh Millen 2 yard rush (Charlie Baumann kick),13,16
