,Quarter,Tm,Detail,DET,OAK
0,1.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),0,7
1,1.0,Raiders,Harold Hart 25 yard rush (George Blanda kick),0,14
2,2.0,Raiders,Cliff Branch 15 yard pass from Ken Stabler (George Blanda kick),0,21
3,2.0,Lions,Errol Mann 32 yard field goal,3,21
4,3.0,Raiders,Cliff Branch 36 yard pass from Ken Stabler (George Blanda kick),3,28
5,3.0,Lions,Altie Taylor 1 yard rush (Errol Mann kick),10,28
6,3.0,Raiders,Marv Hubbard 20 yard rush (George Blanda kick),10,35
7,4.0,Lions,Errol Mann 35 yard field goal,13,35
