,Quarter,Time,Tm,Detail,GNB,DET
0,3,10:55,Packers,Mason Crosby 42 yard field goal,3,0
1,4,7:55,Lions,Will Heller 13 yard pass from Drew Stanton (Dave Rayner kick),3,7
