,Quarter,Tm,Detail,CLE,DET
0,1.0,Browns,Lou Groza 12 yard field goal,3,0
1,2.0,Lions,Leon Hart 7 yard pass from Bobby Layne (Pat Harder kick),3,7
2,2.0,Lions,Pat Harder 43 yard field goal,3,10
3,3.0,Browns,Lou Groza 41 yard field goal,6,10
4,4.0,Lions,Leon Hart 10 yard pass from Bobby Layne (Pat Harder kick),6,17
