,Quarter,Tm,Detail,NYJ,DEN
0,1.0,Broncos,Jon Keyworth 5 yard rush (Jim Turner kick),0,7
1,1.0,Broncos,Bill Thompson 4 yard defensive fumble return (Jim Turner kick),0,14
2,2.0,Jets,Kevin Long 4 yard rush (Pat Leahy kick),7,14
3,2.0,Broncos,Haven Moses 14 yard pass from Craig Penrose (Jim Turner kick),7,21
4,2.0,Broncos,Tom Jackson 28 yard interception return (Jim Turner kick),7,28
5,2.0,Jets,Derrick Gaffney 4 yard pass from Matt Robinson (Pat Leahy kick),14,28
6,2.0,Jets,Pat Leahy 38 yard field goal,17,28
7,3.0,Jets,Scott Dierking 3 yard rush (Pat Leahy kick),24,28
8,4.0,Jets,Wesley Walker 75 yard pass from Matt Robinson (Pat Leahy kick),31,28
