,Quarter,Tm,Detail,WAS,CRD
0,1.0,Redskins,Bert Zagers 55 yard punt return (Vic Janowicz kick),7,0
1,1.0,Redskins,Vic Janowicz 8 yard pass from Ralph Guglielmi (Vic Janowicz kick),14,0
2,4.0,Redskins,John Carson 31 yard pass from Eddie LeBaron (Vic Janowicz kick),21,0
3,4.0,Redskins,Vic Janowicz 20 yard field goal,24,0
4,4.0,Redskins,Jim Monachino 10 yard rush (Vic Janowicz kick),31,0
